video_id,sen_id,caption
video0,77306,a man is driving down a road
video1,110472,a women in a multi-color outfit is cooking a stew type dish in a silver pot
video10,47320,a man holds two dogs
video100,18365,a dog sits on the porch
video1000,49018,a woman talking on talkshow
video1001,20338,there are many people cheering at a live performance
video1002,17193,andew heaney doing his baseball workout
video1003,78512,kids cartoon in school
video1004,88930,a person is folding origami
video1005,43914,two men talking to the camera
video1006,36042,a person playing a video game and commentating
video1007,51265,a wrestler throws his opponent to the ground
video1008,45908,a man spooning out ingredients
video1009,80759,hilary clinton speaks on podium
video101,61439,a girl talks to a cyborg on star trek
video1010,130816,a lady in a blue striped shirt in a warehouse and then in space
video1011,70540,a car driving down a road goes from black and white video to colored video
video1012,107177,cross-disciplinary research shows students working with medical and electronic devices
video1013,44683,a man singing and playing guitar
video1014,36020,a game of golf
video1015,8734,two people in a car
video1016,94664,a man is building a fire outside
video1017,27104,a wrestler slams a wrestler on the mat
video1018,55194,person showing math on paper
video1019,95312,two men on a panel show describes a political bike event
video102,104727,various glimpses into vintage laboratories are shown while a man talks about plastic
video1020,54712,a person is showing a television
video1021,71346,a video about expensive cars
video1022,122867,a section of a review of president obama s working plans in various sections of the government
video1023,100415,a light brown color hot porridge is served in a white serving bowl
video1024,34695,three young people are siting on a couch and watching clips from a hockey game
video1025,102553,a woman walks her dog through pet store buying it goodies
video1026,132190,a man is talking with black color coat
video1027,112108,a car traveling in the high way near snow mountains
video1028,41860,a gamer is making upgrades on a game
video1029,12797,two kids are interviewed
video103,135933,a lady wearing colored top and black sweater is telling about her chines dishes kept on a table in a kitchen
video1030,50647,reporters converse on football talk show
video1031,132159,a race car driver on a track driving fast in a blue car
video1032,85793,an owl is sitting in a tree
video1033,84303,a woman being interviewed on ellen
video1034,26633,george bush and angela merkel
video1035,105887,the chef preparing some bown delicious food stuff
video1036,85034,a person playing a video game and commentating
video1037,4080,a baby stroller is being displayed
video1038,114968,a man is giving a interview to the reporter
video1039,85537,quick seam is being applied to seams
video104,67326,a dj plays for a large audience
video1040,87368,a man wants to do a slow jam song
video1041,69292,girl sits on hot tub edge
video1042,127888,watch mojo house flight of the conchords (2007-09)
video1043,34072,man playing with little pups
video1044,76642,a cartoon of superheroes fighting
video1045,1711,guys and girls dancing on stage in front of a crowd
video1046,113522,man shows off a cell phone that lights up around its edges
video1047,122611,a young lady in a white apron is organizing her craft store
video1048,124610,a young man describes and demonstrates a video game vulgarly that he is playing
video1049,32651,people are dancing outside
video105,108167,a person wear white dress and red tie explain about dog with his students
video1050,133657,2 women talking about dna forensics and what the lab can do
video1051,112748,a man photo is displaying and song is playing
video1052,2291,an animated character falls and then gets hit by an object
video1053,43129,a woman is shown competing on uneven bars at a gymnastics event
video1054,23200, sleek looking car with cool looking headlight
video1055,113854,women singing on stage while another women walking on stage in bikini
video1056,61639,a foreign talk show host talks to a celebrity
video1057,15012,a young man is sitting behind a drum kit and playing a beat
video1058,138105,a laptop displays various windows to some mexican-style music
video1059,12510,these kids are playing in the ocean
video106,311,group of kids singing and dancing outside near a black table
video1060,77511,a person uses a gps system in a car
video1061,50072,jay leno talking to a man about work being done on a car
video1062,36988,a person is playing a video game
video1063,110961,a male voice explains how children will be delighted as two men raise and lower a string where a toy bicycle is balanced and rolls back and forth between the two men
video1064,51307,animated hedgehog complainging about being bored and a flying bug introduces sonic and the secret rings extreme party games
video1065,94472,a woman riding on a zip-line ride called tarzan the ride
video1066,22204,a still image of a woman dancing
video1067,44140,a man is folding a piece of paper into an aeroplane
video1068,63453,two cartoon girls are talking in a large room
video1069,37764,a tutorial of making different nail painting models
video107,80033,the busy street of a big city is shown late at night while people are out and about
video1070,86157,the front control panel of a car
video1071,79885,four men play basketball
video1072,11469,a woman being photographed
video1073,35208,ellen degeneres is a talk show host
video1074,109302,there is a woman making a taste food
video1075,45766,a man is talking about horse racing
video1076,95207,a video of a couple having intimate time
video1077,92678,video on fifa 2014 
video1078,134907,a man wearing glasses and a purple shirt tells us about the jewish tradition
video1079,42522,a group of woman are singing
video108,124860,someone cooks meat patties in an oil filled pan on top of a stove then covers it with the lid
video1080,88832,a person slapping hamburgers
video1081,101365,a woman is speaking about the clothes a lady is wearing she says it is in good fashion
video1082,48529,a woman records herself driving down the road
video1083,73603,a lady is giving some lecute
video1084,122133,people play basketball while music plays loudly in the background
video1085,128665,track athlete with red bandanna explains why he wants to win
video1086,65637,there is a person describing about one of the church in phillipines
video1087,128125,an indian movie of a man bleeding around his mouth
video1088,41995,girl is riding a horse
video1089,41340,a girl applying something on her skin
video109,64895,minecraft guy reads from a book
video1090,138733,people with hats and bags walking around the river
video1091,114012,this video is about a chinese person mixing red peppers
video1092,88668,group of female dancers performing
video1093,110537,a woman in the kitchen is making meatballs and chopping onions
video1094,109072,a man is showing the geographical location and talking about how it works
video1095,57386,a man is talking in his library about a church shooting
video1096,104469,a couple sitting in the restaurant the man with cigarette speaking and the lady hear it in angry
video1097,81083,a person is cooking
video1098,76793,a man measuring pieces of a hardwood floor
video1099,6335,cartoon pirate boy and girl talk about perfume
video11,37324,a man is standing
video110,91062,a flashlight is being used to show frightening images and a screaming woman
video1100,104211,a lady cut the vegetables to prepare the dish
video1101,61376,someone make the character jump to the target
video1102,81885,a person in a kitchen touching dough in a mixer
video1103,60241,a man is playing soccer
video1104,122883,a man wears specs and talking something in media
video1105,65942,a clay-animation video of godzilla in a city
video1106,103386,the person stir up the food in the pot on the stove
video1107,58479,the speakers were worried about disasters
video1108,93434,someone is playing a samurai video game
video1109,64994,there is a slow moving cartoon train
video111,100368,this women is probably addressing at some press meet which is conducted by the wilson center
video1110,40840,a girl is in a garage
video1111,81980,a cook is preparing a salad
video1112,126011,a man is walking with a gummy worm on a fishing pole at a golf course
video1113,90681,a man drives and shoots out of a tank
video1114,57477,the right hand of a black man playing the piano
video1115,46229,a person looks at a motor and examines it closely
video1116,18234,man putting a toy back together
video1117,55543,a man is addressing the camera
video1118,21619,a music concert in which a singer is singing
video1119,26387,puppies playing with each other 
video112,113787,one man skating very fast in the grass
video1120,119116,a presenter explains the horrible state of soldiers and civilians injured during the world war
video1121,54055,someone is whisking eggs with chopsticks
video1122,12299,two people are dancing in a car
video1123,85200,a father is seated holding his baby and is talking
video1124,43748,men standing in a window
video1125,51797,a person cutting dough with a knife
video1126,137955,man in black suit is presenting some news about ted
video1127,42221,a lady in red is dancing and singing
video1128,42889,a man playing video games
video1129,39283,a woman in a kitchen turning on the fan
video113,123540,the woman in black dress interview with two man with blazers talk about the congress accomplishments
video1130,122327,a white surface holds a head of shiny ridged green cabbage an opened package of white sprouts with yellow heads
video1131,86309,a woman is taking medication
video1132,27960,a group of girls are playing instruments in a room
video1133,87861,a girl at a singing competition
video1134,91515,mortal kombat freddy krueger introduction
video1135,103452,people standing for the conversation a man in red dress gives the slip to all other people
video1136,71308,a person is telling about a car
video1137,94082,a growth is shown on a woman s foot
video1138,63188,a person is discussing a car
video1139,22544,a guy is talking on stage and introducing a girl to come up on stage
video114,39163,a woman explaining a dance with a group of backup dancers
video1140,17666,a man is punching a fake body in slow motion
video1141,7748,a horse gallops near a dog
video1142,25372,scary cartoon of a girl
video1143,16248,a man talking to the camera regarding celebrities
video1144,54773,a person hooking up a pushbutton switch
video1145,29279,a girl signing on a talent show
video1146,100461,a red vehicle is driving down an empty road at high speeds the model of the vehicle is audi
video1147,82814,music video and a couple together
video1148,123711,a large bowl of green insects sitting next to a bunch of other foods
video1149,136624,in the forest the lovers are hugging and kisiing this is watching another lady
video115,77449,a person is explaining how to fix a car
video1150,96916,a boy shoots at a man in a black costume
video1151,4444,a commercial for a new gm car at a car lot
video1152,10253,a young boy playing the piano in front of students
video1153,116145,noodles being tossed in a wok along with visual of other asian ingredients being added to a bowl
video1154,28510,a woman talks about confederate flags
video1155,62943,a cheetah hunts for some food
video1156,26405,about a music and dance
video1157,87343,a soccer game is being played
video1158,65658,the video is a parody of iggy
video1159,64778,woman hosting the review of movies
video116,10792,people at a theme park
video1160,107394,the woman is walking and she is scared from something
video1161,15404,a boy is singing on the voice
video1162,96746,the person remove leaves from the red motor cycle
video1163,3817,women spread something onto a cake and cake boss is mentioned
video1164,119848,a man is very passionately speaking about his feelings torwards homosexuality
video1165,26001,a cartoon set of people lose their heads
video1166,42480,a girl has a tube of glitter in her hand
video1167,88422,a crowd of men boos things a man says
video1168,97995,a woman poses in a wedding dress and looks behind her
video1169,86568,a dog is playing with a water hose
video117,104360,women are being interviewed a girl in front of a red window is talking about what she likes most
video1170,83527,a person plays a gta
video1171,77130,a game shop cartoon
video1172,100611,a girl helps directs an orchestra to play music
video1173,58804,a man plays with some barbies imitating a sex conversation
video1174,74162,a person drives a car in a game and runs over people
video1175,7330,cartoon characters are working in a kitchen
video1176,68463,a man and a woman perform a science experiment
video1177,41778,someone is playing a video game
video1178,80811,a man is talking to an audience
video1179,83161,a man and a woman sitting on a couch
video118,131094,a man is showing his left over roast lamb and was going to tell what he was going to do with it
video1180,96233,mat damon talks wearing a black shirt with a wood patterned wall behind him
video1181,5228,a group sing and play instruments in front a huge crowd
video1182,26931,a man shooting another person
video1183,124562,a man with black t-shirt and spectacles is discussing something
video1184,102620,a man is sleeping with a women and women wakes up seeing her man still asleep
video1185,99432,two guys walk down the sidewalk covered with leaves talking
video1186,88229,first shooter video game
video1187,125569,somebody films a walk through a nice lush and green forest
video1188,48804,people are discussing different types of food
video1189,43786,a person commenting on news anchors speech
video119,102090,rappers walk through a hall performing a song on a music video
