caption,video_id,sent_len
a woman goes under a horse,xBePrplM4OA_6_18.avi,6
a horse defecated on a woman's head,xBePrplM4OA_6_18.avi,7
a horse is defecating on a woman's head,xBePrplM4OA_6_18.avi,8
a horse poops on a woman,xBePrplM4OA_6_18.avi,6
a horse poops on a woman,xBePrplM4OA_6_18.avi,6
a woman goes underneath a horse,xBePrplM4OA_6_18.avi,6
a woman is crawling under a horse,xBePrplM4OA_6_18.avi,7
a woman is getting pooped on by a horse,xBePrplM4OA_6_18.avi,9
a woman is walking between horse legs,xBePrplM4OA_6_18.avi,7
a man slicing butter into a bowl,IBgsLmDcL78_80_84.avi,7
a man cut up butter into a pan,IBgsLmDcL78_80_84.avi,8
a man cutting butter into a mixing bowl,IBgsLmDcL78_80_84.avi,8
a man is chopping butter into a container,IBgsLmDcL78_80_84.avi,8
a man is cutting a butter,IBgsLmDcL78_80_84.avi,6
a man is slicing butter into an electric mixer,IBgsLmDcL78_80_84.avi,9
a man is slicing butter,IBgsLmDcL78_80_84.avi,5
a man puts butter into a mixing bowl,IBgsLmDcL78_80_84.avi,8
butter is being put into a bowl,IBgsLmDcL78_80_84.avi,7
butter is being put into a mixer,IBgsLmDcL78_80_84.avi,7
pieces of butter is added in the stand mixer,IBgsLmDcL78_80_84.avi,9
the man cut butter into a bowl,IBgsLmDcL78_80_84.avi,7
the man is cutting butter,IBgsLmDcL78_80_84.avi,5
a person is adding butter into a pot,IBgsLmDcL78_80_84.avi,8
a slow loris is eating an egg,WqQonRVs7WA_0_10.avi,7
a slow loris is eating on a chair,WqQonRVs7WA_0_10.avi,8
a lory is eating an egg,WqQonRVs7WA_0_10.avi,6
a sloth is hanging from a chair,WqQonRVs7WA_0_10.avi,7
a animal is hanging upside down,WqQonRVs7WA_0_10.avi,6
a hanging loris is eating food,WqQonRVs7WA_0_10.avi,6
a small animal eats a potato,WqQonRVs7WA_0_10.avi,6
a monkey is hanging upside down in a cage,WqQonRVs7WA_0_10.avi,9
an animal is eating,WqQonRVs7WA_0_10.avi,4
a loris is eating some food,WqQonRVs7WA_0_10.avi,6
the animal is eating,WqQonRVs7WA_0_10.avi,4
an animal eats upside down,WqQonRVs7WA_0_10.avi,5
a lemur hangs and eats,WqQonRVs7WA_0_10.avi,5
the mammal hung from the chair top eating something,WqQonRVs7WA_0_10.avi,9
a man is putting pepper into a bowl,F2Ny7rq9RKs_139_148.avi,8
someone is seasoning two cracked eggs in a bowl,F2Ny7rq9RKs_139_148.avi,9
a man puts ingredients on eggs,F2Ny7rq9RKs_139_148.avi,6
someone is seasoning two raw eggs in a bowl,F2Ny7rq9RKs_139_148.avi,9
a person is adding spices in the bowl,F2Ny7rq9RKs_139_148.avi,8
a man is adding vanilla to egg,F2Ny7rq9RKs_139_148.avi,7
a person adds cinnamon and vanilla extract to eggs,F2Ny7rq9RKs_139_148.avi,9
a person is seasoning eggs,F2Ny7rq9RKs_139_148.avi,5
someone is putting seasonings onto raw eggs,F2Ny7rq9RKs_139_148.avi,7
someone is seasoning eggs,F2Ny7rq9RKs_139_148.avi,4
someone seasoned the raw eggs,F2Ny7rq9RKs_139_148.avi,5
the cook is seasoning eggs,F2Ny7rq9RKs_139_148.avi,5
a cook adds seasoning and extracts to some eggs,F2Ny7rq9RKs_139_148.avi,9
the lady added season to the eggs,F2Ny7rq9RKs_139_148.avi,7
a person is blow torching cameras,D1tTBncIsm8_841_848.avi,6
someone is blow-torching two cameras,D1tTBncIsm8_841_848.avi,5
a person is burning cameras,D1tTBncIsm8_841_848.avi,5
a camera is burning,D1tTBncIsm8_841_848.avi,4
a person is burning cameras,D1tTBncIsm8_841_848.avi,5
someone is burning cameras with a torch,D1tTBncIsm8_841_848.avi,7
someone is burning cameras with a blow torch,D1tTBncIsm8_841_848.avi,8
a person is torching two cameras,D1tTBncIsm8_841_848.avi,6
the person lit the cameras on fire,D1tTBncIsm8_841_848.avi,7
